timestamp,x,x_dot,pitch,pitch_rate,u_pitch,cmd_x,target_speed,height,k_x,k_x_dot,k_theta,k_theta_dot,eff_target_pitch,eff_target_pitch_rate
0.710114,-0.171641,-0.217224,0.0592835,0.12871,1.704,-0.0681601,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.715108,-0.171641,-0.217224,0.0592835,0.12871,1.704,-0.0681601,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.720114,-0.171641,-0.217224,0.0600222,0.110119,0.783283,-0.0313313,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.725113,-0.172495,-0.210634,0.0600222,0.110119,1.09794,-0.0439177,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.730142,-0.172495,-0.210634,0.0600222,0.110119,1.09794,-0.0439177,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.735111,-0.171814,-0.196694,0.0577961,0.0409686,-2.78623,0.111449,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.740125,-0.171814,-0.196694,0.0577961,0.0409686,-2.78623,0.111449,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.745112,-0.171375,-0.184664,0.0557363,-0.00564784,-5.40513,0.216205,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.75011,-0.171375,-0.184664,0.0557363,-0.00564784,-5.40513,0.216205,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.755129,-0.172489,-0.181003,0.0563013,0.0127967,-4.02324,0.16093,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.760106,-0.172489,-0.181003,0.0563013,0.0127967,-4.02324,0.16093,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.765108,-0.174651,-0.182763,0.059079,0.0658833,-0.372347,0.0148939,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.770137,-0.174651,-0.182763,0.059079,0.0658833,-0.372347,0.0148939,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.775131,-0.17626,-0.181672,0.0610044,0.0899246,1.52188,-0.0608752,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.780115,-0.17626,-0.181672,0.0610044,0.0899246,1.52188,-0.0608752,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.785113,-0.176409,-0.173333,0.0604922,0.0580554,-0.0602981,0.00241192,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.790112,-0.176409,-0.173333,0.0604922,0.0580554,-0.0602981,0.00241192,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.79511,-0.175801,-0.161622,0.0583664,0.00596432,-3.02986,0.121194,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.800155,-0.175801,-0.161622,0.0583664,0.00596432,-3.02986,0.121194,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.80516,-0.175825,-0.153662,0.0573855,-0.0128952,-3.97428,0.158971,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.81013,-0.175825,-0.153662,0.0573855,-0.0128952,-3.97428,0.158971,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.815115,-0.177037,-0.152038,0.0585343,0.0149698,-2.00563,0.080225,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.820103,-0.177037,-0.152038,0.0585343,0.0149698,-2.00563,0.080225,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.825104,-0.178626,-0.152385,0.0606043,0.0517941,0.601613,-0.0240645,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.830107,-0.178626,-0.152385,0.0606043,0.0517941,0.601613,-0.0240645,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.835077,-0.179429,-0.148777,0.0612935,0.0543112,1.07745,-0.0430982,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.840107,-0.179429,-0.148777,0.0612935,0.0543112,1.07745,-0.0430982,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.845113,-0.179188,-0.140135,0.0601308,0.01992,-0.784638,0.0313855,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.850116,-0.179188,-0.140135,0.0601308,0.01992,-0.784638,0.0313855,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.855109,-0.178757,-0.130973,0.0585289,-0.0139684,-2.69156,0.107662,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.860161,-0.178757,-0.130973,0.0585289,-0.0139684,-2.69156,0.107662,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.865099,-0.179071,-0.125994,0.0583166,-0.0140937,-2.50776,0.10031,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.870158,-0.179071,-0.125994,0.0583166,-0.0140937,-2.50776,0.10031,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.875109,-0.180147,-0.125077,0.0595732,0.0137777,-0.547466,0.0218987,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.880082,-0.180147,-0.125077,0.0595732,0.0137777,-0.547466,0.0218987,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.885121,-0.181151,-0.123839,0.0607836,0.0345053,0.999415,-0.0399766,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.890114,-0.181151,-0.123839,0.0607836,0.0345053,0.999415,-0.0399766,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.89511,-0.18137,-0.118742,0.0606183,0.0240983,0.597416,-0.0238966,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.900161,-0.18137,-0.118742,0.0606183,0.0240983,0.597416,-0.0238966,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.905119,-0.18097,-0.110806,0.0593036,-0.00564363,-1.06021,0.0424085,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.910123,-0.18097,-0.110806,0.0593036,-0.00564363,-1.06021,0.0424085,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.915127,-0.180731,-0.104071,0.0583031,-0.0232549,-1.99379,0.0797514,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
