time,height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,nominal_com_y,nominal_com_z,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,u_raw,u_model,tau_each
140.082,0.5,0,0.0194354,0,0.0194354,4.53166e-11,0.0616989,1.29725e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.89674e-11,0,1,0,1,0,0,0,4.546,0.101609,0.101609,-0.0508044
140.087,0.5,0,0.0194354,0,0.0194354,4.52826e-11,0.0616989,1.29725e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.89307e-11,0,1,0,1,0,0,0,4.541,0.101609,0.101609,-0.0508044
140.092,0.5,0,0.0194354,0,0.0194354,4.52487e-11,0.0616989,1.30085e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.88941e-11,0,1,0,1,0,0,0,4.536,0.101609,0.101609,-0.0508044
140.097,0.5,0,0.0194354,0,0.0194354,4.52148e-11,0.0616989,1.30085e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.88575e-11,0,1,0,1,0,0,0,4.531,0.101609,0.101609,-0.0508044
140.102,0.5,0,0.0194354,0,0.0194354,4.5181e-11,0.0616989,1.30303e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.88209e-11,0,1,0,1,0,0,0,4.526,0.101609,0.101609,-0.0508044
140.107,0.5,0,0.0194354,0,0.0194354,4.51471e-11,0.0616989,1.30303e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.87843e-11,0,1,0,1,0,0,0,4.521,0.101609,0.101609,-0.0508044
140.111,0.5,0,0.0194354,0,0.0194354,4.51134e-11,0.0616989,1.30213e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.87551e-11,0,1,0,1,0,0,0,4.517,0.101609,0.101609,-0.0508044
140.116,0.5,0,0.0194354,0,0.0194354,4.50796e-11,0.0616989,1.30213e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.87185e-11,0,1,0,1,0,0,0,4.512,0.101609,0.101609,-0.0508044
140.121,0.5,0,0.0194354,0,0.0194354,4.5046e-11,0.0616989,1.2985e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.8682e-11,0,1,0,1,0,0,0,4.507,0.101609,0.101609,-0.0508044
140.126,0.5,0,0.0194354,0,0.0194354,4.50123e-11,0.0616989,1.2985e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.86455e-11,0,1,0,1,0,0,0,4.502,0.101609,0.101609,-0.0508044
140.131,0.5,0,0.0194354,0,0.0194354,4.49788e-11,0.0616989,1.29132e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.8609e-11,0,1,0,1,0,0,0,4.497,0.101609,0.101609,-0.0508044
140.136,0.5,0,0.0194354,0,0.0194354,4.49452e-11,0.0616989,1.29132e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.85725e-11,0,1,0,1,0,0,0,4.492,0.101609,0.101609,-0.0508044
140.141,0.5,0,0.0194354,0,0.0194354,4.49117e-11,0.0616989,1.28299e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.85361e-11,0,1,0,1,0,0,0,4.487,0.101609,0.101609,-0.0508044
140.146,0.5,0,0.0194354,0,0.0194354,4.48782e-11,0.0616989,1.28299e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.84997e-11,0,1,0,1,0,0,0,4.482,0.101609,0.101609,-0.0508044
140.151,0.5,0,0.0194354,0,0.0194354,4.48448e-11,0.0616989,1.27484e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.84633e-11,0,1,0,1,0,0,0,4.477,0.101609,0.101609,-0.0508044
140.156,0.5,0,0.0194354,0,0.0194354,4.48114e-11,0.0616989,1.27484e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.8427e-11,0,1,0,1,0,0,0,4.472,0.101609,0.101609,-0.0508044
140.16,0.5,0,0.0194354,0,0.0194354,4.47779e-11,0.0616989,1.26931e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.83979e-11,0,1,0,1,0,0,0,4.468,0.101609,0.101609,-0.0508044
140.165,0.5,0,0.0194354,0,0.0194354,4.47779e-11,0.0616989,1.26931e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.83619e-11,0,1,0,1,0,0,0,4.463,0.101609,0.101609,-0.0508044
140.17,0.5,0,0.0194354,0,0.0194354,4.47445e-11,0.0616989,1.26826e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.83259e-11,0,1,0,1,0,0,0,4.458,0.101609,0.101609,-0.0508044
140.175,0.5,0,0.0194354,0,0.0194354,4.47111e-11,0.0616989,1.26826e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.82899e-11,0,1,0,1,0,0,0,4.453,0.101609,0.101609,-0.0508044
140.18,0.5,0,0.0194354,0,0.0194354,4.46777e-11,0.0616989,1.26826e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.8254e-11,0,1,0,1,0,0,0,4.448,0.101609,0.101609,-0.0508044
140.185,0.5,0,0.0194354,0,0.0194354,4.46445e-11,0.0616989,1.25488e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.82181e-11,0,1,0,1,0,0,0,4.443,0.101609,0.101609,-0.0508044
140.19,0.5,0,0.0194354,0,0.0194354,4.46114e-11,0.0616989,1.25488e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.81822e-11,0,1,0,1,0,0,0,4.438,0.101609,0.101609,-0.0508044
140.195,0.5,0,0.0194354,0,0.0194354,4.45782e-11,0.0616989,1.24258e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.81463e-11,0,1,0,1,0,0,0,4.433,0.101609,0.101609,-0.0508044
140.2,0.5,0,0.0194354,0,0.0194354,4.4545e-11,0.0616989,1.24258e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.81105e-11,0,1,0,1,0,0,0,4.428,0.101609,0.101609,-0.0508044
140.205,0.5,0,0.0194354,0,0.0194354,4.45117e-11,0.0616989,1.24226e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.80747e-11,0,1,0,1,0,0,0,4.423,0.101609,0.101609,-0.0508044
140.209,0.5,0,0.0194354,0,0.0194354,4.44784e-11,0.0616989,1.24226e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.8046e-11,0,1,0,1,0,0,0,4.419,0.101609,0.101609,-0.0508044
140.214,0.5,0,0.0194354,0,0.0194354,4.4445e-11,0.0616989,1.25382e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.80102e-11,0,1,0,1,0,0,0,4.414,0.101609,0.101609,-0.0508044
