timestamp,com_height,hip_angle_rad,knee_angle_rad,hip_torque,knee_torque,hip_effort,knee_effort
16.0301,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0351,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0351,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0401,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0401,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0451,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0451,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0501,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0501,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0551,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0551,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0601,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0601,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0651,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0651,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0701,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0701,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0751,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0751,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0801,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0801,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0851,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0851,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0901,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0901,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0951,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.0951,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1001,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1002,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1051,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1051,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1101,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1101,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1151,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1151,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1201,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1201,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1251,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1251,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1301,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1301,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1351,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1351,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1401,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1401,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1451,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1451,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1501,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1501,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
