time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,u_raw,u_model,tau_each
176.156,0.5,0.64,0,-0.147175,-0.149151,0.00197565,-1.54016e-14,0.0309153,-3.49648e-15,0.0319107,0.0309687,-5.34461e-05,1,-0.0005,0.0309687,-0.0164269,-0.0169269,0.530265,0.0005,0.0005,0.000528368,0.000528368,0,0,0.00197565,-1.79372e-14,0,1,0,0,0,0,0,0,-3.94951e-14,-3.94951e-14,1.97475e-14
176.161,0.5,0.64,0,-0.147175,-0.149151,0.00197565,-1.53649e-14,0.0309153,-3.56256e-15,0.0319107,0.0309687,-5.34461e-05,1,-0.0005,0.0309687,-0.0164269,-0.0169269,0.530265,0.0005,0.0005,0.000528368,0.000528368,0,0,0.00197565,-1.79116e-14,0,1,0,0,0,0,0,0,-4.18916e-14,-4.18916e-14,2.09458e-14
176.166,0.5,0.64,0,-0.147175,-0.149151,0.00197565,-1.53293e-14,0.0309153,-3.56256e-15,0.0319107,0.0309687,-5.34461e-05,1,-0.0005,0.0309687,-0.0164269,-0.0169269,0.530265,0.0005,0.0005,0.000528368,0.000528368,0,0,0.00197565,-1.78859e-14,0,1,0,0,0,0,0,0,-4.01517e-14,-4.01517e-14,2.00759e-14
176.171,0.5,0.64,0,-0.147175,-0.149151,0.00197565,-1.5298e-14,0.0309153,-3.59801e-15,0.0319107,0.0309687,-5.34461e-05,1,-0.0005,0.0309687,-0.0164269,-0.0169269,0.530265,0.0005,0.0005,0.000528368,0.000528368,0,0,0.00197565,-1.78601e-14,0,1,0,0,0,0,0,0,-4.1225e-14,-4.1225e-14,2.06125e-14
176.176,0.5,0.64,0,-0.147175,-0.149151,0.00197565,-1.52647e-14,0.0309153,-3.59801e-15,0.0319107,0.0309687,-5.34461e-05,1,-0.0005,0.0309687,-0.0164269,-0.0169269,0.530265,0.0005,0.0005,0.000528368,0.000528368,0,0,0.00197565,-1.78343e-14,0,1,0,0,0,0,0,0,-3.95961e-14,-3.95961e-14,1.9798e-14
176.181,0.5,0.64,0,-0.147175,-0.149151,0.00197565,-1.52303e-14,0.0309153,-3.65309e-15,0.0319107,0.0309687,-5.34461e-05,1,-0.0005,0.0309687,-0.0164269,-0.0169269,0.530265,0.0005,0.0005,0.000528368,0.000528368,0,0,0.00197565,-1.78084e-14,0,1,0,0,0,0,0,0,-4.14067e-14,-4.14067e-14,2.07033e-14
176.186,0.5,0.64,0,-0.147175,-0.149151,0.00197565,-1.51979e-14,0.0309153,-3.65309e-15,0.0319107,0.0309687,-5.34461e-05,1,-0.0005,0.0309687,-0.0164269,-0.0169269,0.530265,0.0005,0.0005,0.000528368,0.000528368,0,0,0.00197565,-1.77824e-14,0,1,0,0,0,0,0,0,-3.99998e-14,-3.99998e-14,1.99999e-14
176.191,0.5,0.64,0,-0.147175,-0.149151,0.00197565,-1.51689e-14,0.0309153,-3.66323e-15,0.0319107,0.0309687,-5.34461e-05,1,-0.0005,0.0309687,-0.0164269,-0.0169269,0.530265,0.0005,0.0005,0.000528368,0.000528368,0,0,0.00197565,-1.77564e-14,0,1,0,0,0,0,0,0,-3.92272e-14,-3.92272e-14,1.96136e-14
176.196,0.5,0.64,0,-0.147175,-0.149151,0.00197565,-1.51424e-14,0.0309153,-3.66323e-15,0.0319107,0.0309687,-5.34461e-05,1,-0.0005,0.0309687,-0.0164269,-0.0169269,0.530265,0.0005,0.0005,0.000528368,0.000528368,0,0,0.00197565,-1.77304e-14,0,1,0,0,0,0,0,0,-3.79331e-14,-3.79331e-14,1.89665e-14
176.201,0.5,0.64,0,-0.147175,-0.149151,0.00197565,-1.51424e-14,0.0309153,-3.65281e-15,0.0319107,0.0309687,-5.34461e-05,1,-0.0005,0.0309687,-0.0164269,-0.0169269,0.530265,0.0005,0.0005,0.000528368,0.000528368,0,0,0.00197565,-1.77098e-14,0,1,0,0,0,0,0,0,-3.72724e-14,-3.72724e-14,1.86362e-14
176.205,0.5,0.64,0,-0.147175,-0.149151,0.00197565,-1.5099e-14,0.0309153,-3.65281e-15,0.0319107,0.0309687,-5.34461e-05,1,-0.0005,0.0309687,-0.0164269,-0.0169269,0.530265,0.0005,0.0005,0.000528368,0.000528368,0,0,0.00197565,-1.76838e-14,0,1,0,0,0,0,0,0,-3.55047e-14,-3.55047e-14,1.77523e-14
